Dataset,Method,AR_auc_mean,AR_auc_std,AR_acc_mean,AR_acc_std,AR_precision_mean,AR_precision_std,AR_recall_mean,AR_recall_std,AR_f1_mean,AR_f1_std,VA_auc_mean,VA_auc_std,VA_acc_mean,VA_acc_std,VA_precision_mean,VA_precision_std,VA_recall_mean,VA_recall_std,VA_f1_mean,VA_f1_std
DSSN_EM,MTL-HPS,0.77544939,0.31581274,0.79425837,0.30963484,0.64187937,0.10415146,0.67715687,0.16012693,0.65463232,0.14118080,0.72016642,0.29652064,0.73338650,0.27720947,0.62457917,0.11840909,0.62347584,0.12785503,0.62401753,0.11928521
DSSN_EM,MTL-PCGrad,0.78385474,0.40694594,0.80462520,0.32612900,0.66181330,0.15923434,0.70824171,0.17242765,0.67802209,0.17430437,0.63088751,0.29297864,0.72993089,0.26470260,0.61641505,0.11915073,0.61241826,0.12436301,0.61427238,0.11350499
DSSN_EM,MTL-UW,0.73914490,0.24904992,0.80223285,0.30164019,0.65686779,0.11112991,0.69989584,0.15378937,0.67209326,0.13799479,0.70774102,0.30800942,0.73365231,0.27787921,0.62465565,0.12226321,0.62324847,0.13444770,0.62393586,0.12358732
DSSN_EM,MTL-TAG,0.77544939,0.31581274,0.79425837,0.30963484,0.64187937,0.10415146,0.67715687,0.16012693,0.65463232,0.14118080,0.72016642,0.29652064,0.73338650,0.27720947,0.62457917,0.11840909,0.62347584,0.12785503,0.62401753,0.11928521
DSSN_EM,SI,,,,,,,,,,,,,,,,,,,,
DSSN_EM,TL-FT,,,,,,,,,,,,,,,,,,,,
DSSN_EM,Transfer-MTL,,,,,,,,,,,,,,,,,,,,
DSSN_EM,MTL-Retrain,,,,,,,,,,,,,,,,,,,,
DSSN_EM,Pure-Meta,,,,,,,,,,,,,,,,,,,,
DSSN_EM,Reptile-ST,0.85097468,0.00000000,0.72788204,0.38486966,0.59991462,0.01969275,0.71674939,0.20626070,0.59712257,0.19887071,0.57097403,0.24193619,0.48257373,0.31988662,0.48472543,0.15852318,0.48474747,0.19080594,0.48255885,0.15753988
DSSN_EM,Reptile-MT,0.90693785,0.00000000,0.76407507,0.33709265,0.63901409,0.06952734,0.79950727,0.20322608,0.64831303,0.17776634,0.57840548,0.14146848,0.51340483,0.28713426,0.51785858,0.14528361,0.51760462,0.13348215,0.51276658,0.12242038
DSSN_EM,Reptile-MI,0.89091498,0.00000000,0.73994638,0.37620451,0.62405266,0.06128214,0.77551791,0.22020976,0.62421064,0.20711926,0.62426407,0.18674602,0.55495979,0.27052164,0.56222202,0.08861410,0.56056277,0.13009535,0.55354465,0.10956111
